flight_number,date_utc,rocket,payload_mass_kg,launchpad,landing_success
175,2022-07-21T17:13:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
176,2022-07-24T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
177,2022-08-04T23:08:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
178,2022-08-09T22:57:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
179,2022-08-12T21:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
180,2022-08-19T19:24:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
181,2022-08-28T02:22:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
182,2022-08-31T05:40:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
183,2022-09-05T02:09:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
184,2022-09-11T01:10:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
185,2022-09-17T01:05:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
186,2022-09-24T23:30:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
187,2022-10-05T16:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
